stimType,stimSide,response,responseRT,
0,-1,1,1.44092093402287,
1,1,-1,1.3357314049790148,
0,1,1,1.3487698970129713,
1,-1,-1,1.366254021995701,
1,-1,1,1.3528610780194867,
0,1,1,1.3464567830087617,
1,1,-1,1.3586942320107482,
1,1,-1,1.3485118209791835,
1,-1,1,1.3405949440202676,
0,-1,-1,1.349606734002009,
1,1,-1,1.3504837729851715,
1,-1,1,1.3525448039872572,
1,1,-1,1.3465087889926508,
0,-1,-1,1.3397852630005218,
1,1,-1,1.3507904650177807,
0,1,1,1.3728269479761366,
1,1,-1,1.3528258790029213,
0,-1,-1,1.3465379459958058,
1,1,-1,1.3515118370123673,
0,-1,-1,1.3473570979840588,
0,-1,-1,1.3405802639899775,
1,1,-1,1.3668339050200302,
0,1,-1,1.3565277099842206,
1,1,-1,1.3515097000054084,
1,-1,1,1.3498535219987389,
1,-1,1,1.3515462189971004,
1,1,-1,1.3487739840056747,
1,-1,1,1.3489871440106072,
1,1,-1,1.3503152010089252,
0,-1,-1,1.3396926690184046,
0,-1,-1,1.3523165860096924,
1,1,-1,1.3499906999932136,
1,1,-1,1.3528670039959252,
1,1,-1,1.3466364380146842,
1,1,-1,1.3501176930149086,
0,1,1,1.3657724949880503,
1,-1,1,1.338789984001778,
0,1,1,1.653655889997026,
0,1,1,1.5660898410133086,
0,1,1,1.3523061909945682,
0,1,1,1.346996781998314,
0,1,1,1.3418254120042548,
1,-1,1,1.4167549700068776,
1,-1,1,1.3395269690081477,
1,-1,1,1.3504597580176778,
0,-1,-1,1.3485535260115284,
0,1,1,1.367050246015424,
0,-1,-1,1.3495072240184527,
1,-1,1,1.3425607410026714,
0,1,1,1.34820589600713,
0,1,1,1.3418858379882295,
0,1,1,1.3482858520001173,
1,-1,1,1.351525802980177,
0,-1,-1,1.350849002978066,
1,1,1,1.3657511660130695,
0,1,1,1.3421602430171333,
0,-1,-1,1.6156538809882477,
1,-1,1,1.3760883119830396,
0,1,1,1.581035379000241,
0,-1,-1,1.3512436389864888,
0,-1,-1,1.34838991399738,
0,1,1,1.3355606780096423,
1,1,-1,1.3396044640103355,
0,-1,-1,1.3497251190128736,
1,1,1,1.369757493986981,
1,-1,1,1.3489733499882277,
1,1,-1,1.3477142620249651,
0,1,1,1.3473693160049152,
1,-1,1,1.3501652410195675,
0,-1,-1,1.3394082809973042,
1,1,-1,1.399958396999864,
1,-1,1,1.4405511670047417,
0,-1,-1,1.3826416149968281,
0,1,1,1.3515519099892117,
0,1,1,1.3479131330095697,
1,1,-1,1.3498012280033436,
0,1,1,1.3401954800065141,
0,1,1,1.3494355519942474,
1,1,-1,1.339915701013524,
1,1,-1,1.348600441007875,
1,1,-1,1.3492102249874733,
0,1,1,1.3501458800164983,
0,-1,-1,1.3492229119874537,
0,-1,-1,1.3396304660127498,
0,1,1,1.3495905590243638,
1,-1,1,1.3420210430049337,
1,-1,1,1.3494745770003647,
1,1,-1,1.3430503009876702,
1,1,-1,1.3503712700039614,
1,1,-1,1.3491281809983775,
0,-1,-1,1.3441201400128193,
1,-1,1,1.3479115279915277,
1,1,-1,1.3393015789915808,
0,-1,-1,1.517077511001844,
0,1,1,1.348739873006707,
0,1,1,1.3511487090145238,
0,1,1,1.3477962930046488,
1,1,-1,1.3387228999927174,
0,1,1,1.3508260849921498,
0,-1,-1,1.3394882979919203,
